"","name","ingredients","diet","prep_time","cook_time","flavor_profile","course","state","region","Country","cook_category","prep_category"
"1","Balu shahi","Maida flour, yogurt, oil, sugar","vegetarian",45,25,"sweet","dessert","West Bengal","East","India","Low","High"
"2","Gulab jamun","Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water","vegetarian",15,40,"sweet","dessert","West Bengal","East","India","High","Very Low"
"3","Imarti","Sugar syrup, lentil flour","vegetarian",10,50,"sweet","dessert","West Bengal","East","India","Very High","Very Low"
"4","Kalakand","Milk, cottage cheese, sugar","vegetarian",20,30,"sweet","dessert","West Bengal","East","India","Medium","Low"
"5","Cham cham","Flour, cream, sugar, saffron, lemon juice, coconut flakes","vegetarian",40,60,"sweet","dessert","West Bengal","East","India","Very High","High"
"6","Ledikeni","Chhena, sugar, ghee","vegetarian",45,45,"sweet","dessert","West Bengal","East","India","High","High"
"7","Mihidana","Besan flour, sugar, ghee","vegetarian",15,30,"sweet","dessert","West Bengal","East","India","Medium","Very Low"
"8","Misti doi","Milk, jaggery","vegetarian",480,30,"sweet","dessert","West Bengal","East","India","Medium","Very High"
"9","Pantua","Chhena, sugar, ghee, flour","vegetarian",45,45,"sweet","dessert","West Bengal","East","India","High","High"
"10","Ras malai","Chhena, reduced milk, pistachio","vegetarian",180,60,"sweet","dessert","West Bengal","East","India","Very High","Very High"
"11","Rasgulla","Chhena, sugar, cardamom","vegetarian",10,90,"sweet","dessert","West Bengal","East","India","Very High","Very Low"
"12","Sandesh","Milk, sugar, saffron, cardamom","vegetarian",30,20,"sweet","dessert","West Bengal","East","India","Low","Medium"
"13","Adhirasam","Rice flour, jaggery, ghee, vegetable oil, elachi","vegetarian",10,50,"sweet","dessert","West Bengal","East","India","Very High","Very Low"
"14","Cheera Doi","Rice, mango, curd","vegetarian",-1,-1,"sweet","dessert","West Bengal","East","India","Very Low","Very Low"
"15","Goja","Baking soda, clarified butter, oil, all purpose flour","vegetarian",20,60,"sweet","dessert","West Bengal","East","India","Very High","Low"
"16","Jalebi","Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom","vegetarian",10,50,"sweet","dessert","Uttar Pradesh","North","India","Very High","Very Low"
"17","Petha","Firm white pumpkin, sugar, kitchen lime, alum powder","vegetarian",10,30,"sweet","dessert","Uttar Pradesh","North","India","Medium","Very Low"
"18","Rabri","Condensed milk, sugar, spices, nuts","vegetarian",10,45,"sweet","dessert","Uttar Pradesh","North","India","High","Very Low"
"19","Sohan halwa","Corn flour, ghee, dry fruits","vegetarian",10,60,"sweet","dessert","Uttar Pradesh","North","India","Very High","Very Low"
"20","Panjeeri","Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina","vegetarian",10,25,"sweet","dessert","Uttar Pradesh","North","India","Low","Very Low"
"21","Kaju katli","Cashews, ghee, cardamom, sugar","vegetarian",10,20,"sweet","dessert","Uttar Pradesh","North","India","Low","Very Low"
"22","Kheer","Milk, rice, sugar, dried fruits","vegetarian",10,40,"sweet","dessert","Uttar Pradesh","North","India","High","Very Low"
"23","Nankhatai","Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom","vegetarian",20,30,"sweet","dessert","Uttar Pradesh","North","India","Medium","Low"
"24","Sheera","Semolina, ghee, nuts, milk","vegetarian",10,25,"sweet","dessert","Maharashtra","West","India","Low","Very Low"
