"","name","ingredients","diet","prep_time","cook_time","flavor_profile","course","state","region","Country","cook_category","prep_category"
"1","Currivepillai sadam","Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves","vegetarian",10,20,"spicy","main course","Tamil Nadu","South","India","Low","Very Low"
"2","Kaara kozhambu","Sesame oil, drumstick, tamarind paste, sambar powder, tomato","vegetarian",-1,-1,"spicy","main course","Tamil Nadu","South","India","Very Low","Very Low"
"3","Keerai kootu","Moong dal, chana dal, spinach, urad dal, coconut oil","vegetarian",20,30,"spicy","main course","Tamil Nadu","South","India","Medium","Low"
"4","Keerai masiyal","Urad dal, curry leaves, sugar, mustard seeds, spinach","vegetarian",-1,-1,"spicy","main course","Tamil Nadu","South","India","Very Low","Very Low"
"5","Keerai sadam","Greens, tomato, mustard seeds, fenugreek seeds","vegetarian",10,20,"spicy","main course","Tamil Nadu","South","India","Low","Very Low"
"6","Keerai poriyal","Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili","vegetarian",20,30,"spicy","main course","Tamil Nadu","South","India","Medium","Low"
"7","Kootu","Chana dal, urad dal, potato, beans, peas","vegetarian",10,15,"spicy","main course","Tamil Nadu","South","India","Very Low","Very Low"
"8","Kos kootu","Moong dal, chana dal, cabbage, tamarind, curry leaves","vegetarian",10,20,"spicy","main course","Tamil Nadu","South","India","Low","Very Low"
"9","Kothamali sadam","Chana dal, urad dal, gooseberry, raw rice, curry leaves","vegetarian",10,20,"spicy","main course","Tamil Nadu","South","India","Low","Very Low"
"10","Kuzhakkattai","Sesame oil, raw rice, jaggery, grated coconut","vegetarian",10,90,"spicy","main course","Tamil Nadu","South","India","Very High","Very Low"
"11","Kuzhambu","Pearl onions, urad dal, drumsticks, tomato, curry leaves","vegetarian",5,30,"spicy","main course","Tamil Nadu","South","India","Medium","Very Low"
"12","Paniyaram","Yogurt, ginger, curry leaves, baking soda, green chilli","vegetarian",10,20,"-1","main course","Tamil Nadu","South","India","Low","Very Low"
"13","Paruppu sadam","Arhar dal, sambar powder, tomato, curry leaves, fennel seeds","vegetarian",10,20,"-1","main course","Tamil Nadu","South","India","Low","Very Low"
"14","Poriyal","Chana dal, urad dal, beans, coconut, mustard","vegetarian",-1,-1,"spicy","main course","Tamil Nadu","South","India","Very Low","Very Low"
"15","Puli sadam","Urad dal, lemon, tamarind, cooked rice, curry leaves","vegetarian",10,20,"-1","main course","Tamil Nadu","South","India","Low","Very Low"
"16","Thayir sadam","Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds","vegetarian",10,20,"-1","main course","Tamil Nadu","South","India","Low","Very Low"
"17","Chicken Varuval","Meat curry powder, chicken chunks, ginger, tomato, cinnamon","non vegetarian",10,35,"spicy","main course","Tamil Nadu","South","India","Medium","Very Low"
"18","Sambar","Pigeon peas, eggplant, drumsticks, sambar powder, tamarind","vegetarian",20,45,"spicy","main course","Tamil Nadu","South","India","High","Low"
"19","Rasam","Tomato, curry leaves, garlic, mustard seeds, hot water","vegetarian",10,35,"spicy","main course","Tamil Nadu","South","India","Medium","Very Low"
"20","Pachadi","Coconut oil, cucumber, curd, curry leaves, mustard seeds","vegetarian",10,25,"-1","main course","Tamil Nadu","South","India","Low","Very Low"
"21","Aloo gobi","Cauliflower, potato, garam masala, turmeric, curry leaves","vegetarian",10,20,"spicy","main course","Punjab","North","India","Low","Very Low"
"22","Aloo tikki","Rice flour, potato, bread crumbs, garam masala, salt","vegetarian",5,20,"spicy","main course","Punjab","North","India","Low","Very Low"
"23","Aloo matar","Potato, peas, chillies, ginger, garam masala, garlic","vegetarian",5,40,"spicy","main course","Punjab","North","India","High","Very Low"
"24","Aloo methi","Potato, fenugreek leaves, chillies, salt, oil","vegetarian",10,40,"bitter","main course","Punjab","North","India","High","Very Low"
"25","Aloo shimla mirch","Potato, shimla mirch, garam masala, amchur powder, salt","vegetarian",10,40,"spicy","main course","Punjab","North","India","High","Very Low"
"26","Bhatura","Chole, rava, yogurt, plain flour, baking soda","vegetarian",20,20,"spicy","main course","Punjab","North","India","Low","Low"
"27","Bhindi masala","Ladies finger, garam masala, kasuri methi, tomatoes, chili powder","vegetarian",20,30,"spicy","main course","Punjab","North","India","Medium","Low"
"28","Chana masala","Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil","vegetarian",20,30,"spicy","main course","Punjab","North","India","Medium","Low"
"29","Chicken Tikka masala","Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala","non vegetarian",10,50,"spicy","main course","Punjab","North","India","Very High","Very Low"
"30","Chole bhature","Chole, bhatura, garam masala, bay leaf, cinnamon stick","vegetarian",20,30,"spicy","main course","Punjab","North","India","Medium","Low"
"31","Dal makhani","Red kidney beans, urad dal, cream, garam masala, chili powder","vegetarian",10,60,"sweet","main course","Punjab","North","India","Very High","Very Low"
"32","Dal tadka","Pigeon peas, garam masala, ginger, red onion, kasuri methi","vegetarian",10,30,"spicy","main course","Punjab","North","India","Medium","Very Low"
"33","Kadai paneer","Cottage cheese, bell peppers, gravy, garam masala, cashew nuts","vegetarian",20,30,"spicy","main course","Punjab","North","India","Medium","Low"
"34","Karela bharta","Bitter gourd, fennel, garam masala powder, chili powder, amchur powder","vegetarian",20,50,"bitter","main course","Punjab","North","India","Very High","Low"
"35","Makki di roti sarson da saag","Palak, makki atta, mustard green, garam masala, ginger","vegetarian",25,30,"spicy","main course","Punjab","North","India","Medium","Low"
"36","Misi roti","Whole wheat flour, chickpea flour, green chilies","vegetarian",30,30,"spicy","main course","Punjab","North","India","Medium","Medium"
"37","Mushroom do pyaza","Mushroom, malai, garam masala, ginger, capsicum","vegetarian",10,30,"spicy","main course","Punjab","North","India","Medium","Very Low"
"38","Mushroom matar","Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes","vegetarian",10,30,"spicy","main course","Punjab","North","India","Medium","Very Low"
"39","Naan","Whole wheat flour, honey, butter, garlic","vegetarian",60,30,"-1","main course","Punjab","North","India","Medium","Very High"
"40","Palak paneer","Cottage cheese, palak, cream, garam masala, butter","vegetarian",20,40,"spicy","main course","Punjab","North","India","High","Low"
"41","Paneer butter masala","Paneer, whipping cream, garam masala, cashew nuts, butter","vegetarian",20,40,"spicy","main course","Punjab","North","India","High","Low"
